tpnc,ean,nazev,znacka,cena_kc,jednotkova_cena,jednotka,energie_kj,energie_kcal,tuky_g,nasycene_mk_g,sacharidy_g,cukry_g,bilkoviny_g,sul_g,vlaknina_g
105008563,08593837270378,Vitana Americké brambory 25g,VITANA,15.9,636,kg,424.0,101.0,1.8,0.3,14.0,2.4,4.2,70.0,
200107889,08590132019206,Kotányi Paprika lahůdková mletá 25g,KOTANYI,25.9,1036,kg,,26,0.3,,6.0,,1.0,,
105044678,08595019532199,Avokádo Paprika uzená sladká mletá 20g,Avokádo,18.5,925,kg,,160,15.0,,9.0,,2.0,,
210275172,08590132010227,Kotányi Gyros 35g,Kotányi,27.9,797.14,kg,984.0,234.0,3.3,0.6,37.0,30.0,7.3,31.0,
130823862,08590132018032,Kotányi Italské bylinky 14g,Kotányi,27.9,1992.86,kg,,280,7.0,,45.0,,10.0,,
120528069,08595012002750,Avokádo Zázvor mletý 20g,Avokádo,25.9,1295,kg,,160,15.0,,9.0,,2.0,,
130541930,08595019529212,Avokádo Kurkuma mletá 30g,Avokádo,18.5,616.67,kg,,160,15.0,,9.0,,2.0,,
105008566,08593837270361,Vitana Kari 25g,VITANA,15.9,636,kg,1592.0,379.0,14.0,2.0,39.0,2.4,13.0,2.0,
210275202,08590132009207,Kotányi Paprika lahůdková mletá 100g,Kotányi,75.9,759,kg,,26,0.3,,6.0,,1.0,,
120528213,08595012003559,Avokádo Mletá masa 32g,Avokádo,19.9,621.88,kg,810.0,193.0,1.3,0.2,33.0,7.9,7.5,39.1,
220053362,08593837256983,Vitana Houbové koření 25g,Vitana,24.9,996,kg,1178.0,280.0,9.4,0.5,29.2,7.53,17.9,35.0,
105008557,08593837270521,Vitana Kuře pečené 25g,VITANA,15.9,636,kg,740.0,176.0,3.7,0.7,24.0,15.0,6.6,48.0,
220203181,08590132009542,Kotányi Pepř černý mletý 40g,Kotányi,64.9,1622.5,kg,,280,7.0,,45.0,,10.0,,
220053379,08593837256914,Vitana Ryby 28g,Vitana,24.9,889.29,kg,940.0,222.0,5.0,0.3,35.1,19.8,6.2,47.0,
120528259,08595012003658,Avokádo Pizza 14g,Avokádo,19.9,1421.43,kg,924.0,221.0,4.6,0.9,32.0,21.0,8.5,34.1,
105008567,08593837270415,Vitana Gyros 23g,VITANA,15.9,691.3,kg,882.0,210.0,5.0,1.1,28.0,11.0,8.1,45.0,
220292132,08590132015291,Kotányi Koriandr mletý 30g,Kotányi,26.9,896.67,kg,1554.0,23,0.5,,3.7,,2.1,,
220169974,08590132018896,Kotányi Koriandr krájené listy 6g,Kotányi,25.9,4316.67,kg,,23,0.5,,3.7,,2.1,,
200107865,08590132015307,Kotányi Kmín celý 34g,KOTANYI,24.9,830,kg,,280,7.0,,45.0,,10.0,,
120244554,08590132015987,Kotányi Kmín římský celý 25g,Kotányi,26.9,1076,kg,,280,7.0,,45.0,,10.0,,
220053335,08593837255764,Vitana Muškátový květ 13g,Vitana,39.9,3069.23,kg,,280,7.0,,45.0,,10.0,,
220055278,08593837256969,Vitana Polévkové bylinky 7g,Vitana,18.9,2700,kg,1195.0,282.0,3.7,0.3,26.0,19.0,24.0,0.13,
220053328,08593837256020,Vitana Chilli mleté 23g,Vitana,18.5,804.35,kg,,280,7.0,,45.0,,10.0,,
205294072,08590132010197,KOTÁNYI Kuře na paprice 45g,KOTÁNYI,27.9,620,kg,1213.0,289.0,9.2,1.5,32.0,27.0,12.0,18.5,
220053304,08593837256662,Vitana Grilovací koření speciál bez soli 18g,Vitana,21.9,1216.67,kg,1344.0,317.0,3.3,0.5,51.2,15.4,13.5,0.0,
130546585,08593837254446,Vitana Pyramidky na punč 4 x 5g (20g),Vitana,29.9,1495,kg,1656.0,391.0,2.8,0.7,70.0,16.4,3.8,0.0,
105044677,08595019532212,Avokádo Sušená rajčata s česnekem a bazalkou 15g,Avokádo,20.9,1393.33,kg,1324.0,313.0,1.7,0.1,56.0,9.9,17.0,5.99,
120528075,08595012002804,Avokádo Adžika 30g,Avokádo,19.9,663.33,kg,1232.0,294.0,7.6,1.0,35.0,10.0,12.0,23.1,
214524122,08590132015703,Kotányi Gril Argentina 40g,Kotányi,29.9,747.5,kg,806.0,192.0,5.3,0.6,22.0,17.0,7.8,44.1,
200107742,08590132015482,Kotányi Pepř bílý mletý 20g,KOTANYI,41.9,2095,kg,,280,7.0,,45.0,,10.0,,
220202525,08593837258291,Vitana Kmín drcený 60g,Vitana,39.9,665,kg,,280,7.0,,45.0,,10.0,,
218824273,08593837244096,J.C.Horn Gulášové koření 25g,J.C.Horn,19.9,796,kg,1243.0,294.0,7.9,1.4,30.5,8.3,13.5,0.0,
211702837,08590132041115,Kotányi Mlýnek Pepř černý 36g,Kotányi,87.9,2441.67,kg,,280,7.0,,45.0,,10.0,,
200107698,08590132015086,Kotányi Chilli mleté kajenský pepř 25g,KOTANYI,26.9,1076,kg,,280,7.0,,45.0,,10.0,,
220317144,08590132019541,Kotányi Skořice cejlonská mletá 15g,Kotányi,24.9,1660,kg,,280,7.0,,45.0,,10.0,,
200107346,08590132016083,Kotányi Guláš 26g,KOTANYI,27.9,1073.08,kg,,280,7.0,,45.0,,10.0,,
220203182,08590132009580,Kotányi Pepř čtyř barev celý 50g,Kotányi,88.9,1778,kg,,280,7.0,,45.0,,10.0,,
200107483,08590132015901,Kotányi Steak 40g,KOTANYI,29.9,747.5,kg,295.0,70.0,0.7,0.2,11.0,8.5,2.8,62.7,
220053331,08593837256587,Vitana Kajenský pepř 23g,Vitana,21.9,952.17,kg,,280,7.0,,45.0,,10.0,,
120739447,08595019526747,Avokádo Krkovička 30g,Avokádo,19.9,663.33,kg,999.0,238.0,6.4,0.8,30.0,12.0,8.5,34.2,
